id,first,follow_1,follow_2,follow_3,follow_4,follow_5,follow_6,follow_7
sub001,"(0.10416666666666667, 48.919, 0.0, 0.0)","(0.3451388888888889, 48.919, 8.979, 18.354831456080458)","(5.504861111111111, 48.919, 32.828, 67.10685009914347)","(10.822916666666666, 48.919, 58.874, 120.34996627077415)","(17.73125, 48.919, 77.639, 158.70929495696967)",,,
sub002,"(0.125, 23.526, 0.0, 0.0)","(0.6215277777777778, 23.526, -0.136, -0.5780838221542124)","(2.884027777777778, 23.526, 4.889, 20.78126328317606)","(18.66736111111111, 23.526, 11.342, 48.210490521125564)","(46.63263888888889, 23.526, -23.526, -100.0)",,,
sub003,"(0.08333333333333333, 32.621, 0.0, 0.0)","(0.39652777777777776, 32.621, 8.671, 26.58103675546427)","(1.6500000000000001, 32.621, 17.146, 52.561233561202904)",,,,,
sub004,"(0.041666666666666664, 22.191, 0.0, 0.0)","(0.7076388888888889, 22.191, -3.235, -14.577982064801045)","(3.49375, 22.191, -12.651, -57.00959848587265)","(9.479166666666666, 22.191, -16.987, -76.54905141724122)",,,,
sub005,"(0.20833333333333334, 47.392, 0.0, 0.0)","(1.1027777777777776, 47.392, -24.21, -51.08457123565159)","(4.08125, 47.392, -34.494, -72.78443619176232)",,,,,
sub006,"(1.0, 97.503, 0.0, 0.0)","(1.9944444444444445, 97.503, -2.119, -2.1732664635959917)","(5.0680555555555555, 97.503, -15.758, -16.16155400346656)","(7.174305555555556, 97.503, -46.644, -47.838528045290914)","(11.902083333333332, 97.503, -72.773, -74.63667784580987)",,,
sub007,"(0.75, 32.434, 0.0, 0.0)","(1.8368055555555554, 32.434, -12.419, -38.29006598014429)","(4.8805555555555555, 32.434, -1.147, -3.5364124067336746)","(8.029166666666667, 32.434, 10.373, 31.981870876240983)","(11.810416666666667, 32.434, 24.433, 75.33144231362151)","(12.87638888888889, 32.434, 19.097, 58.879570820743666)","(17.063194444444445, 32.434, 11.36, 35.02497379293334)",
sub008,"(0.08333333333333333, 14.353, 0.0, 0.0)","(0.4270833333333333, 14.353, 18.536, 129.14373301748762)","(4.09375, 14.353, 37.534, 261.50630530202744)","(7.230555555555555, 14.353, 20.561, 143.25228175294365)",,,,
sub009,"(0.02791666666666667, 18.799, 0.0, 0.0)","(1.6688888888888889, 18.799, 3.392, 18.04351295281664)","(2.756388888888889, 18.799, 29.74, 158.19990425022607)",,,,,
sub010,"(0.041666666666666664, 15.272, 0.0, 0.0)","(0.625, 15.272, 7.083, 46.37899423782085)","(1.638888888888889, 15.272, 8.152, 53.3787323205867)","(8.808333333333334, 15.272, -4.998, -32.726558407543216)","(39.64791666666667, 15.272, -15.272, -100.0)",,,
sub011,"(0.041666666666666664, 5.08, 0.0, 0.0)","(0.7145833333333332, 5.08, -1.438, -28.307086614173226)","(13.857638888888888, 5.08, -5.067, -99.74409448818898)",,,,,
sub012,"(0.08333333333333333, 15.254, 0.0, 0.0)","(0.48055555555555557, 15.254, 1.469, 9.630260915169792)","(1.211111111111111, 15.254, -1.436, -9.413924216598925)","(2.983333333333333, 15.254, 5.534, 36.279008784581094)","(7.202083333333333, 15.254, 6.832, 44.78825226170185)","(20.052777777777777, 15.254, 40.46, 265.2419037629474)","(52.99166666666667, 15.254, -14.155, -92.79533237183689)",
sub013,"(0.125, 9.694, 0.0, 0.0)","(1.1027777777777776, 9.694, -0.445, -4.590468330926346)","(8.096527777777778, 9.694, 5.537, 57.11780482772849)","(21.394444444444446, 9.694, -2.622, -27.04765834536827)","(31.811111111111114, 9.694, -7.94, -81.90633381473076)",,,
